Crude,Sulphur (%),API,Production (b/d),Conversion Factor (barrels to mt),Country,Location,Region,Terminal,Operator,Assay Date,Notes,Block,Pour Point °C,Tan (mgKOH/g),Butane and Lighter,Lt. Naphtha,Hvy Naphtha,Kerosene,Diesel,Vacuum Gas oil,Vacuum Residue
ATAPU,0.372,28.3,,,Brazil,,South America,,,27/04/2021 00:00,https://ts.totalenergies.com/business-customers/crude-assays/,,-17.9,0.24,,,,,,,
Attaka,0.04,44.7,50000,,Indonesia,"Santan, off Balikpapan",Asia-Pacific,,,,,,,0,,,,,,,
Azeri  Light  (FOB Ceyhan),0.15,36.55,750000,7.47,Azerbaijan,Turkey,Urals/Mediterranean,,SOCAR (Downstream),,,,,0,,,,,,,
Azeri  Light  (FOB Supsa/Batumi),0.16,34.75,100000,7.39,Azerbaijan,Black Sea,Urals/Mediterranean,,SOCAR (Downstream),,,,,0,,,,,,,
Bach Ho   ,0.04,38.6,50000,,Vietnam,Bach Ho terminal,Asia-Pacific,,,,,,,0,,,,,,,
BADAK,0.06,38.89869091,,,Indonesia,,Asia,,,25/02/2009 00:00,https://ts.totalenergies.com/business-customers/crude-assays/,,3,0.102,,,,,,,
Bakken,0.12,42.3,50000,,USA,,North America,,,,,,,0,,,,,,,
Banoco,2.45,31.8,,,Bahrain,,Middle East,,,,,,,0,,,,,,,
Basrah Heavy,4.2,23.6,,,Iraq,,Middle East,,,,,,,0,,,,,,,
Basrah Light,2.92,30,,,Iraq,,Middle East,,,,,,,0,,,,,,,
BEKAPAI,0.0578,41.7,,,Indonesia,,Asia,,,01/03/2016 00:00,https://ts.totalenergies.com/business-customers/crude-assays/,,3,0.181,,,,,,,
Belida   ,0.02,46.2,50000,,Indonesia,Belida,Asia-Pacific,,,,,,,0,,,,,,,
BONGA,0.248,29.4,,,Nigeria,,Africa,,,27/10/2015 00:00,https://ts.totalenergies.com/business-customers/crude-assays/,,-23.9,0.459,,,,,,,
Bonito,1.13,34.13,50000,,USA,,North America,,,,,,,0,,,,,,,
BONNY LIGHT,0.151,34.9,,,Nigeria,,Africa,,,18/06/2020 00:00,https://ts.totalenergies.com/business-customers/crude-assays/,,-18.2,0.26,,,,,,,
BONTANG return condensate,0.01,72.80274329,,,Indonesia,,Asia,,,05/06/1997 00:00,https://ts.totalenergies.com/business-customers/crude-assays/,,<-50,0.001,,,,,,,
Bow River,2.1,24.7,,,Canada,,North America,,,,,,,0,,,,,,,
BRASS RIVER,0.127,36.6,,,Nigeria,,Africa,,,01/05/2018 00:00,https://ts.totalenergies.com/business-customers/crude-assays/,,-35.8,0.28,,,,,,,
Brega,0.22,42,,,Libya,,North Africa,,,,,,,0,,,,,,,
BRENT,0.42,38.14,,,United Kingdom,,Europe,,,03/10/2006 00:00,https://ts.totalenergies.com/business-customers/crude-assays/,,0,0.1,,,,,,,
BTC,0.16,36.6,,,Azerbaijan,,Europe,,,,,,,0,,,,,,,
CABINDA,0.168,32.4,,,Angola,,Africa,,,23/01/2020 00:00,https://ts.totalenergies.com/business-customers/crude-assays/,,3,0.05,,,,,,,
CASCADE CHINOOK BLEND,2.81,24.6,,,United States of America,,,,,13/01/2013 00:00,https://ts.totalenergies.com/business-customers/crude-assays/,,-23.9,0.267,,,,,,,
Castilla,1.97,18.8,,,Colombia,,South America,,,,,,,0,,,,,,,
Ceiba,0.398,31.44,40000,,Equatorial Guinea,,Cental-Africa,,Tullow,,,,-6,0.7,,,,,,,
Champion,0.12,28,,,Brunei,,North America,,,,,,,0,,,,,,,
Cinta    ,0.11,32.7,50000,,Indonesia,Cinta,Asia-Pacific,,,,,,,0,,,,,,,
CLOV,0.257,32,,,Angola,,Africa,,,26/05/2020 00:00,https://ts.totalenergies.com/business-customers/crude-assays/,,-24.1,0.74,,,,,,,
Cold Lake,3.25,19.9,,,Canada,,North America,,,,,,,0,,,,,,,
CONDENSATE ICHTHYS,0.00824,48.4,,,Australia,,Oceania,,,25/04/2019 00:00,https://ts.totalenergies.com/business-customers/crude-assays/,,6,0.05,,,,,,,
CONDENSATE SENIPAH,0.0306,50,,,Indonesia,,Asia,,,01/03/2016 00:00,https://ts.totalenergies.com/business-customers/crude-assays/,,-36,0.028,,,,,,,
CONDENSATE SNOHVIT,0.00703,63.7,,,Norway,,Europe,,,24/08/2018 00:00,https://ts.totalenergies.com/business-customers/crude-assays/,,-55.1,0.01,,,,,,,
Cossack,0.04,49,100000,,Australia,North West Australia,Asia-Pacific,,,,,,,0,,,,,,,
CPC,0.56,45.3,830000,7.86,Kazakhstan,Black Sea,Urals/Mediterranean,,TCO/KPO/KMG,,,,,0,,,,,,,
CULZEAN,0.0081,49.2,,,United Kingdom,,Europe,,,28/05/2020 00:00,https://ts.totalenergies.com/business-customers/crude-assays/,,5.9,0.02,,,,,,,
DALIA,0.508,23,,,Angola,,Africa,,,09/03/2015 00:00,https://ts.totalenergies.com/business-customers/crude-assays/,,-51,1.49,,,,,,,
Daqing    ,0.1,32.7,50000,,China,Luda/Dalian in Yellow Sea,Asia-Pacific,,,,,,,0,,,,,,,
Dar,0.12,26.4,130000,,South Sudan,Upper Nile,East Africa,,,,Blend,,,0,,,,,,,
Das,1.3,39.2,,,UAE,,Middle East,,,,,,,0,,,,,,,
DAS BLEND,1.14,39.1,,,Abu Dhabi,,,,,21/03/2016 00:00,https://ts.totalenergies.com/business-customers/crude-assays/,,-6,0.0454,,,,,,,
DJENO,0.541,26.4,,,Congo,,,,,30/01/2018 00:00,https://ts.totalenergies.com/business-customers/crude-assays/,,-6.2,0.7,,,,,,,
Doba,0.08,25.1,,,Chad,,North Africa,,,,,,,0,,,,,,,
Domestic Sweet (DSW),0.41,41.6,50000,,USA,,North America,,,,,,,0,,,,,,,
Dubai,2.04,31,,,UAE,,Middle East,,,,,,,0,,,,,,,
DUC,0.26,33.7,,,Denmark,,Europe,,,03/06/2015 00:00,https://ts.totalenergies.com/business-customers/crude-assays/,,-39,0.39,,,,,,,
DUMBARTON,0.282,40.2,,,United Kingdom,,Europe,,,23/07/2015 00:00,https://ts.totalenergies.com/business-customers/crude-assays/,,-35.9,0.04,,,,,,,
Duri   ,0.14,21.5,50000,,Indonesia,"Dumai, Sumatra",Asia-Pacific,,,,,,,0,,,,,,,
EA BLEND,0.09,35.02644938,,,Nigeria,,Africa,,,01/12/2010 00:00,https://ts.totalenergies.com/business-customers/crude-assays/,,-33,0.21,,,,,,,
Eagle Ford Condensate,0.05,57.52,50000,,USA,,North America,,,,,,,0,,,,,,,
Eagle Ford crude,0.13,46.1,50000,,USA,,North America,,,,,,,0,,,,,,,
Ebok,0.4,19.8,30000,,Nigeria,Offshore,West Africa,Ebok FSO,ExxonMobil,,,113,-38,2.96,0.5,1.6,5.7,11.9,22.6,38.6,19.1
EGINA,0.168,27.3,,,Nigeria,,Africa,,,04/10/2019 00:00,https://ts.totalenergies.com/business-customers/crude-assays/,,-20.9,0.22,,,,,,,
EKOFISK,0.208,38.9,,,Norway,,Europe,,,01/10/2015 00:00,https://ts.totalenergies.com/business-customers/crude-assays/,,-3,0.106,,,,,,,
El Sharara,0.08,42.6,220000,7.69,Libya,Zawia,North Africa,,NOC,,Assay Date: 27/11/2020; https://ts.totalenergies.com/business-customers/crude-assays/,,,0,,,,,,,
Enfield,0.12,22,,,Australia,,Asia-Pacific,,,,,,,0,,,,,,,
Erha,0.18,33.7,140000,,Nigeria,Offshore,West Africa,Erha,ExxonMobil,,,133,-11,0.32,1.8,5.4,17,19.2,24.4,26.3,5.9
ES SHARARA,0.077,42.6,,,Libya,,Africa,,,27/11/2020 00:00,https://ts.totalenergies.com/business-customers/crude-assays/,,-59.9,0.05,,,,,,,
ES SIDER,0.378,36.2,,,Libya,,Africa,,,16/10/2018 00:00,https://ts.totalenergies.com/business-customers/crude-assays/,,0,0.16,,,,,,,
Escalante,0.19,24.1,,,Argentina,,South America,,,,,,,0,,,,,,,
Escravos,0.17,33.51,400000,7.34,Nigeria,Nigeria,West Africa,Escravos,Chevron,,,90,-3,0.52,,,,,,,
ESPO,0.5,34.7,475000,7.39,Russia,"East Russia, Kozmino",Urals/Mediterranean,,Transneft,,,,,0.06,,,,,,,
Eugene Island,1.2,36,,,USA,,North America,,,,,,,0,,,,,,,
Fateh,3,30,,,UAE,,Middle East,,,,,,,0,,,,,,,
Flotta,0.98,36.2,20000,7.46,Norway,North Sea,North Sea,,Talsiman,,,,,0,,,,,,,
FLOTTA GOLD,0.63,36.3,,,United Kingdom,,Europe,,,23/02/2021 00:00,https://ts.totalenergies.com/business-customers/crude-assays/,,-14.9,0.1,,,,,,,
FORCADOS,0.22,31.5,,,Nigeria,,Africa,,,01/03/2014 00:00,https://ts.totalenergies.com/business-customers/crude-assays/,,5.2,0.33,,,,,,,
FORT HILLS REDUCED CARBON LIFE CYCLE DILBIT,3.93,21.2,,,Canada,,North America,,,31/03/2017 00:00,https://ts.totalenergies.com/business-customers/crude-assays/,,-35.9,2.24,,,,,,,
FORTIES,0.845,37.3,,,United Kingdom,,Europe,,,24/05/2014 00:00,https://ts.totalenergies.com/business-customers/crude-assays/,,-11.9,0.063,,,,,,,
Gimboa,0.64,24.59,15000,6.94,Angola,Offshore,West Africa,Gimboa Field,ENI,,,04-May,-24,0.65,0,1,9,9,27,30,24
GINDUNGO,0.577,32,,,Angola,,Africa,,,12/03/2019 00:00,https://ts.totalenergies.com/business-customers/crude-assays/,,-7.7,0.54,,,,,,,
Gippsland ,0.1,48,50000,,Australia ,Westernport,Asia-Pacific,,,,,,,0,,,,,,,
Girassol,0.34,30.02,250000,7.17,Angola,Offshore,West Africa,Buoy or Tandem,Total,,Assay Date: 09/02/2015; https://ts.totalenergies.com/business-customers/crude-assays/,17,-15,0.39,0.6,2.9,11.6,13,19.2,35.2,17.4
Griffin ,0.03,55,50000,,Australia,"Denture, Griffin",Asia-Pacific,,,,,,,0,,,,,,,
GRYPHON,0.39,22.68,,,United Kingdom,,Europe,,,18/12/2008 00:00,https://ts.totalenergies.com/business-customers/crude-assays/,,-39,3.9,,,,,,,
GUDRUN BLEND,0.0673,50.7,,,Norway,,Europe,,,12/01/2015 00:00,https://ts.totalenergies.com/business-customers/crude-assays/,,-71.9,0.0111,,,,,,,
GULLFAKS,0.175,40.3,,,Norway,,Europe,,,27/10/2015 00:00,https://ts.totalenergies.com/business-customers/crude-assays/,,-16.4,0.102,,,,,,,
HANDIL MIX,0.059,39.5,,,Indonesia,,Asia,,,01/03/2016 00:00,https://ts.totalenergies.com/business-customers/crude-assays/,,6,0.122,,,,,,,
HARDING,0.62,20.28,,,United Kingdom,,Europe,,,20/02/2019 00:00,https://ts.totalenergies.com/business-customers/crude-assays/,,-24,2.9,,,,,,,
Hibernia,0.47,34.6,,,Canada,,North America,,,,,,,0.09,,,,,,,
HLS,0.42,33.5,,,USA,,North America,,,,,,,0,,,,,,,
Hungo,0.62,28.7,160000,7.12,Angola,Kizomba A FPSO,West Africa,Kizomba A,ExxonMobil,,,15,-32,0.46,2.4,4.8,12.9,12.8,16.1,30.3,20.6
Iracema,0.262,31,150000,,Brazil,"Santos Basin, pre-salt",South America,,Petrobras,,,BM S 11,3,0.11,1.1,4,10,14.5,25.4,25.3,19.7
Iranian Heavy,1.99,29.5,50000,7.16,Iran,Egypt,Urals/Mediterranean,,NIOC,,,,,0,,,,,,,
Iranian Light,1.36,33.4,50000,7.33,Iran,Egypt,Urals/Mediterranean,,NIOC,,,,,0,,,,,,,
Isthmus,1.3,33.6,,,Mexico,,South America,,,,,,,0,,,,,,,
JOHAN SVERDRUP,0.809,28.7,,,Norway,,Europe,,,01/04/2021 00:00,https://ts.totalenergies.com/business-customers/crude-assays/,,-9,0.32,,,,,,,
Jubarte,0.562,17.1,170000,,Brazil,Campos Basin,South America,,Petrobras,,,BM-C-60,-15,3.2,0.2,0.2,3.1,6.5,21.1,32.5,36.4
Jubilee,0.3,37.4,90000,,Ghana,,West Africa,Jubilee,Tullow,,,,-2.7,0.05,1.7,10,14.2,13.2,20.1,28.4,12.4
Kern River,1.1,13,,,Canada,,North America,,,,,,,0,,,,,,,
Khafji,2.85,29,,,Neutral Zone,,Middle East,,,,,,-21,0,,,,,,,
Kikeh,0.06,36.7,,,Malaysia,,Asia-Pacific,,,,,,,0,,,,,,,
Kimanis,0.06,38.6,,,Malaysia,,Asia-Pacific,,,,,,,0,,,,,,,
Kirkuk,2.26,33.9,400000,7.36,Iraq,Iraq,Urals/Mediterranean,,SOMO,,,,,0,,,,,,,
Kissanje,0.38,29.6,160000,7.22,Angola,Kizomba  B FPSO,West Africa,Kizomba B,ExxonMobil,,,15,-21,0.51,1.4,4.1,12.8,13.4,17.6,31.6,19
Kole,0.33,31,15000,7.19,Cameroon,Kole Terminal,West Africa,,Perenco,,,,,0,,,,,,,
Kumkol,0.11,41.2,7500,7.68,Kazakhstan,Black Sea,Urals/Mediterranean,,TCO/KPO/Lukoil,,,,,0,,,,,,,
Kutubu   ,0.04,44,50000,,New Guinea,Kumul terminal,Asia-Pacific,,,,,,,0,,,,,,,
Kuwait,2.52,31,,,Kuwait,,Middle East,,,,,,,0,,,,,,,
Labuan   ,0.08,31.5,50000,,Malaysia,"Labuan Island, off Sabah",Asia-Pacific,,,,,,,0,,,,,,,
LAPA,0.568,22.7,,,Brazil,,South America,,,08/10/2018 00:00,https://ts.totalenergies.com/business-customers/crude-assays/,,12,0.44,,,,,,,
LHS,0.45,42,,,USA,,North America,,,,,,,0,,,,,,,
Light Luisiana Sweet (LLS),0.36,36.64,50000,,USA,,North America,,,,,,,0,,,,,,,
Line 63,1.02,28,,,USA,,North America,,,,,,,0,,,,,,,
Liza,0.58,32,,,Guyana,Offshore,South America,Liza Destiny FPSO,ExxonMobil,,https://corporate.exxonmobil.com/crude-oils/crude-trading/liza,,2,0.22,,,,,,,
LLB,3.46,20.9,,,Canada,,North America,,,,,,,0,,,,,,,
LLS,0.39,38.5,,,USA,,North America,,,,,,,0,,,,,,,
Lokele,0.45,20.2,20000,6.71,Cameroom,Moudi Terminal,West Africa,,Total,,,,-51,0,,,,,,,
LOOP Sour,2.33,30.2,50000,,USA,,North America,,,,,,,0,,,,,,,
Loreto,1.3,18.1,,,Peru,,South America,,,,,,,0,,,,,,,
LSB,1.05,36.1,,,Canada,,North America,,,,,,,0,,,,,,,
Lula,0.351,30.5,100000,,Brazil,Campos Basin,South America,,Petrobras,,,BM S 11,-27,0.26,0.8,2,13.5,12.9,24.5,24.5,21.8
Magdalena,1.6,20,,,Colombia,,South America,,,,,,,0,,,,,,,
MANDJI,1,30.00841104,,,Gabon,,Africa,,,18/03/2010 00:00,https://ts.totalenergies.com/business-customers/crude-assays/,,3,0.48,,,,,,,
Marlim,0.78,19.2,390000,,Brazil,Campos Basin,South America,,Petrobras,,,BM-C-33,,0,,,,,,,
Mars,1.96,29.44,50000,,USA,,North America,,,,,,,0,,,,,,,
Masila,0.54,31,,,Yemen,,Middle East,,,,,,,0,,,,,,,
Maya,3.3,22,,,Mexico,,South America,,,,,,,0,,,,,,,
MEH,0.45,42,,,US,,North America,,,,,,,0,,,,,,,
Merey,2.45,16,,,Venezuela,,South America,,,,,,,0,,,,,,,
MERO,0.322,28.8,,,Brazil,,South America,,,01/07/2019 00:00,https://ts.totalenergies.com/business-customers/crude-assays/,,-18,0.28,,,,,,,
Mesa,0.9,30,,,Venezuela,,South America,,,,,,,0,,,,,,,
Midale,2.35,30,,,Canada,,North America,,,,,,,0,,,,,,,
Midway Sunset,1.2,13,,,USA,,North America,,,,,,,0,,,,,,,
Minas    ,0.08,36,50000,,Indonesia,"Dumai, Sumatra",Asia-Pacific,,,,,,,0,,,,,,,
Miri   ,0.08,31.9,50000,,Malaysia,"Lutong in Sarawak, near Miri",Asia-Pacific,,,,,,,0,,,,,,,
Mondo,0.39,30.3,40000,7.14,Angola,Kizomba C FPSO,West Africa,Kizomba C,ExxonMobil,,,15,-2.22,0.67,2.2,4.1,11.9,12.4,15.8,29.7,23.9
MOSTARDA,1.12,28,,,Angola,,Africa,,,09/05/2019 00:00,https://ts.totalenergies.com/business-customers/crude-assays/,,1.5,0.529,,,,,,,
MSW,0.4,40.5,,,Canada,,North America,,,,,,,0,,,,,,,
Murban,0.79,40.4,,,UAE,,Middle East,,,,,,,0,,,,,,,
MURBAN,0.743,40.5,,,United Arab Emirates,,Asia,,,07/08/2013 00:00,https://ts.totalenergies.com/business-customers/crude-assays/,,-8.9,0.05,,,,,,,
Nanhai Light    ,0.05,39.5,50000,,China,Hui Zhou,Asia-Pacific,,,,,,,0,,,,,,,
Napo,2.01,19,,,Ecuador,,South America,,,,,,,0,,,,,,,
NEMBA,0.297,38,,,Angola,,Africa,,,10/07/2018 00:00,https://ts.totalenergies.com/business-customers/crude-assays/,,-3,0.3,,,,,,,
Nile Blend,0.05,32.8,,,Sudan,,East Africa,,,,,,,0,,,,,,,
Niobrara,0.39,39,,,USA,,North America,,,,,,,0,,,,,,,
N'KOSSA BLEND,0.0413,42.4,,,Congo,,,,,25/08/2017 00:00,https://ts.totalenergies.com/business-customers/crude-assays/,,-2.9,0.04,,,,,,,
North West Shelf ,0.01,60,50000,, Australia,Dampier,Asia-Pacific,,,,,,,0,,,,,,,
Olmeca,0.8,39.3,,,Mexico,,South America,,,,,,,0,,,,,,,
Olombendo,0.12,35.2,67000,,Angola,Offshore,West Africa,Olombendo FPSO,ENI,,,15-Jun,12,0.11,1,7,13,10,29,27,13
OMAN,1.29,33.2,,,Oman,,Asia,,,10/10/2020 00:00,https://ts.totalenergies.com/business-customers/crude-assays/,,-44.9,0.58,,,,,,,
Oriente,1.4,24,,,Ecuador,,South America,,,,,,,0,,,,,,,
OSEBERG,0.203,39.6,,,Norway,,Europe,,,20/05/2016 00:00,https://ts.totalenergies.com/business-customers/crude-assays/,,-15,0.12,,,,,,,
Palanca,0.16,36.95,40000,7.49,Angola,Offshore,West Africa,Palanca,Sonangol,,,03-May,9,0.03,2.16,4.81,17.34,11.36,27.02,23.82,13.48
Pazflor,0.43,25.6,240000,6.99,Angola,Offshore,West Africa,Pazflor FPSO,Total,,,17,-39,1.63,0.7,1.9,7.3,12.3,19.6,36,22.2
Plutonio,0.37,33.2,160000,7.32,Angola,Offshore,West Africa,Greater Plutonio,BP,,,18,6,0.15,2,4,15,9,24,25,21
Poseidon,1.7,30.4,50000,,USA,,North America,,,,,,,0,,,,,,,
Pyrenees,0.21,19,,,Australia,,Asia-Pacific,,,,,,,0,,,,,,,
Qaiyarah,7.52,16.8,30000,,Iraq,Qyara,Middle East,,Snangol Iraq,,,,-10,0,,,,,,,
Qatar Land,1.22,41.1,,,Qatar,,Middle East,,,,,,,0,,,,,,,
QATAR MARINE,1.85,32.64915675,,,QATAR,,Asia,,,01/10/2008 00:00,https://ts.totalenergies.com/business-customers/crude-assays/,,-15,0.7,,,,,,,
Qua Iboe,0.1,37.6,400000,7.45,Nigeria,Offshore,West Africa,Qua Iboe,ExxonMobil,,,209,9,0.26,2.2,6.6,19.7,17.9,22.3,26.1,5.2
Rabi,0.14,33.2,,,Gabon,,West Africa,,,,,,,0,,,,,,,
Rabi Light,0.11,35.8,140000,7.41,Gabon,Cap Lopez,West Africa,,Shell,,,,,0,,,,,,,
Roncador Heavy,0.67,19.8,,,Brazil,,South America,,,,Assay Date: 01/09/2014; https://www.equinor.com/en/what-we-do/crude-oil-and-condensate-assays.html,,-27,2.39,,,,,,,
Roncador Light,0.54,28,,,Brazil,,South America,,,,Assay Date: 01/12/2013; https://www.equinor.com/en/what-we-do/crude-oil-and-condensate-assays.html,,-17,0.14,,,,,,,
Saharan Blend,0.1,45,450000,7.85,Algeria,Algeria,Urals/Mediterranean,,Sonatrach,,,,,0,,,,,,,
Sakhalin Blend,0.16,44.7,,,Russia,,Europe,,,,,,,0,,,,,,,
San Joaquin Light,1.1,26,,,USA,,North America,,,,,,,0,,,,,,,
Sangos,0.63,31.7,50000,7.26,Angola,Offshore,West Africa,Ngoma FPSO,ENI,,,15-Jun,6,0.22,1.17,3.4,12.33,10.5,23.6,26.3,22.7
Sankofa,0.3,28.9,45000,,Ghana,,West Africa,FPSO John Agyekum Kufour,ENI,,,,,0,,,,,,,
Santa Barbara,0.95,36,,,Venezuela,,South America,,,,,,,0,,,,,,,
Sapinhoa,0.385,29.8,120000,,Brazil,"Santos Basin, pre-salt",South America,,Petrobras,,,BM-S-9,-15,0.3,0,1.2,14.4,13.1,24.8,22.9,23.6
Sarir,0.83,38,,,Libya,,North Africa,,,,,,,0,,,,,,,
Saturno,0.81,27,160000,7.04,Angola,Offshore,West Africa,PSVM-FPSO,BP,,,31,-42,0.5,0.9,4,11,8,23,29,24
Saxi,0.3,32.7,40000,7.25,Angola,Offshore,West Africa,Kizomba C,ExxonMobil,,,15,-3,0.55,1.7,6.2,16.2,15.5,18,28.2,14.2
Senipah  ,0.02,53.9,50000,,Indonesia,Blanglancang,Asia-Pacific,,,,,,,0,,,,,,,
SEPIA,0.434,27.4,,,Brazil,,South America,,,17/12/2021 00:00,https://ts.totalenergies.com/business-customers/crude-assays/,,-6.1,0.3,,,,,,,
SERIA LIGHT,0.0655,39,,,Brunei,,Asia,,,31/07/2013 00:00,https://ts.totalenergies.com/business-customers/crude-assays/,,0,0.214,,,,,,,
Shengli  ,0.9,24,50000,,China,Qingdao on Yellow Sea,Asia-Pacific,,,,,,,0,,,,,,,
Siberian Light,0.57,35.1,50000,7.41,Russia,Black Sea,Urals/Mediterranean,,Transneft,,,,,0,,,,,,,
Sirtica,0.4,41,,,Libya,,North Africa,,,,,,,0,,,,,,,
Sokol,0.27,35.6,,,Russia,,Europe,,,,,,,0.19,,,,,,,
Southern Green Canyon (SGC),2.16,29.93,50000,,USA,,North America,,,,,,,0,,,,,,,
Statfjord,0.25,39.3,130000,7.6,Norway,North Sea,North Sea,,Statoil,,,,,0,,,,,,,
Su Tu Den,0.05,35.8,,,Vietnam,,Asia-Pacific,,,,,,,0,,,,,,,
Suez Blend,1.41,31.3,50000,7.24,Egypt,Egypt,Urals/Mediterranean,,BP/EGPC,,,,,0,,,,,,,
SURURU,0.348,28.3,,,Brazil,,South America,,,20/11/2020 00:00,https://ts.totalenergies.com/business-customers/crude-assays/,,-18,0.14,,,,,,,
SYNBIT SHB,2.97,19.02343236,,,Canada,,North America,,,27/05/2010 00:00,https://ts.totalenergies.com/business-customers/crude-assays/,,-36,1.33,,,,,,,
Syncrude ,0.16,33,,,Canada,,North America,,,,,,,0,,,,,,,
Syrian Heavy,4.19,23.12,50000,6.88,Syria,Syria,Urals/Mediterranean,,SNOC,,,,,0,,,,,,,
Syrian Light,0.68,38,50000,7.54,Syria,Syria,Urals/Mediterranean,,SNOC,,,,,0,,,,,,,
Tapis   ,0.03,46,50000,,Malaysia ,"Kerteh, off Trengganu",Asia-Pacific,,,,,,,0,,,,,,,
Ten Blend,0.39,36.2,60000,,Ghana,,West Africa,FPSO John Evans Atta Mills,Tullow,,,,9,0.05,1.5,10,14,12.3,17.7,29.5,15.1
Tengiz,0.47,47.5,,,Kazakhstan,,Central-Asia,,,,,,,0,,,,,,,
Terra Nova,0.48,33.2,,,Canada,,North America,,,,,,,0,,,,,,,
THUMS,1.5,17,,,USA,,North America,,,,,,,0,,,,,,,
Thunder Horse,0.89,32.8,50000,,USA,,North America,,,,,,,0,,,,,,,
TROLL,0.182,34.5,,,Norway,,Europe,,,21/02/2019 00:00,https://ts.totalenergies.com/business-customers/crude-assays/,,-29.9,0.76,,,,,,,
UPPER ZAKHUM,1.82,33.9,,,United Arab Emirates,,Asia,,,01/01/2012 00:00,https://ts.totalenergies.com/business-customers/crude-assays/,,-37.2,0.0506,,,,,,,
Urals (ex-Baltics),1.44,31.5,1350000,7.25,Russia,"Baltic Sea (Ventspils, Butinge, Tallinn basket)",Urals/Mediterranean,,Transneft,,,,,0,,,,,,,
Urals (ex-Novo),1.36,31.3,610000,7.24,Russia,Black Sea (Novorssiisk terminal),Urals/Mediterranean,,Transneft,,,,,0,,,,,,,
Usan,0.27,29,180000,7.51,Nigeria,Offshore,West Africa,Usan FPSO,Total E&P,,,222,-77,1.53,1.8,4.5,14.3,16.7,21.5,29.2,11.9
Van Gogh,0.37,17,,,Australia,,Asia-Pacific,,,,,,,0,,,,,,,
Vasconia,0.83,24.3,,,Colombia,,South America,,,,,,,0,,,,,,,
Vincent,0.55,18.5,,,Australia,,Asia-Pacific,,,,,,,0,,,,,,,
WCS,3.64,20.1,,,Canada,,North America,,,,,,,0,,,,,,,
West Texas Intermediate (WTI),0.33,40.42,50000,,USA,,North America,,,,,,,0,,,,,,,
Western Canadian Select (WCS),3.59,21,50000,,USA,,North America,,,,,,,0,,,,,,,
White Cliffs,0.39,46,,,USA,,North America,,,,,,,0,,,,,,,
White Rose,0.39,46,,,Canada,,North America,,,,,,,0,,,,,,,
Widuri   ,0.07,33.3,50000,,Indonesia,Widuri,Asia-Pacific,,,,,,,0,,,,,,,
Wilmington,1.2,17,,,USA,,North America,,,,,,,0,,,,,,,
WTS,0.5,38,,,USA,,North America,,,,,,,0,,,,,,,
Wyoming Sweet,0.9,32,,,USA,,North America,,,,,,,0,,,,,,,
Yoho,0.06,40.5,,,Nigeria,Offshore,West Africa,Yoho Terminal,ExxonMobil,,,209,18,0.23,1.6,9,22.7,19.8,21.3,22.9,2.6
